Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
H-038,H-038,342,,HUGGIES CHICA C/PIEDRAS,TRUE,10,FALSE,3.32,,,,,FALSE,HUGGIES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-038.jpg,,,,,,,,,,,,,,,,,,,,
H-039,H-039,408,,HUGGIES GRANDE GRECA C/PIEDRAS,TRUE,10,FALSE,3.96,,,,,FALSE,HUGGIES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-039.jpg,,,,,,,,,,,,,,,,,,,,
H-040,H-040,248,,HUGGIES C/DOS OVAL,TRUE,10,FALSE,2.97,,,,,FALSE,HUGGIES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-040.jpg,,,,,,,,,,,,,,,,,,,,
H-041,H-041,280,,HUGGIES C/PIEDRA Y BISEL DIAMANTADO,TRUE,10,FALSE,3.34,,,,,FALSE,HUGGIES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-041.jpg,,,,,,,,,,,,,,,,,,,,
H-042,H-042,254,,HUGGIES C/PIEDRAS BAGUETTE,TRUE,10,FALSE,2.44,,,,,FALSE,HUGGIES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-042.jpg,,,,,,,,,,,,,,,,,,,,
H-043,H-043,248,,HUGGIES DELDAGA CON BISEL,TRUE,10,FALSE,3,,,,,FALSE,HUGGIES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-043.jpg,,,,,,,,,,,,,,,,,,,,
H-044,H-044,230,,ARRACADA HUGGIES C/ONDITAS,TRUE,10,FALSE,2.76,,,,,FALSE,HUGGIES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-044.jpg,,,,,,,,,,,,,,,,,,,,
