Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
A-084,A-084,194,,ANILLO XV CON PIEDRA,TRUE,10,FALSE,1.8,,,,,FALSE,ANILLOS XV AÑOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-084.jpg,,,,,,,,,,,,,,,,,,,,
A-085,A-085,198,,ANILLO ROSETA 15 AÑOS,TRUE,10,FALSE,0,,,,,FALSE,ANILLOS XV AÑOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-085.jpg,,,,,,,,,,,,,,,,,,,,
A-086,A-086,208,,ANILLO CORONA 15 AÑOS,TRUE,10,FALSE,2,,,,,FALSE,ANILLOS XV AÑOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-086.jpg,,,,,,,,,,,,,,,,,,,,
A-087,A-087,186,,ANILLO 15 AÑOS CORAZON,TRUE,10,FALSE,0,,,,,FALSE,ANILLOS XV AÑOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-087.jpg,,,,,,,,,,,,,,,,,,,,
A-088,A-088,238,,ANILLO CORONA ALTO,TRUE,10,FALSE,2.61,,,,,FALSE,ANILLOS XV AÑOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-088.jpg,,,,,,,,,,,,,,,,,,,,
A-089,A-089,178,,ANILLO CORONA TRIANGULO,TRUE,10,FALSE,0,,,,,FALSE,ANILLOS XV AÑOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-089.jpg,,,,,,,,,,,,,,,,,,,,
